Name,Yc1314,Yc1415,Yc1516,Yc1617,Ass1516,Ass1617,Asr1314,Asr1415,Asr1516,Asr1617,Og1415,Og1516,Og1617,Og1314,Rc1314,Rc1415,Rc1516,Rc1617,Gf1314,Gf1415,Gf1516,Gf1617,Ge1314,Ge1415,Gr1314,Gr1415,Gr1516,Gr1617,Gv1314,Gv1415,Sf+1314,Sf+1415,Sf1314,Sf1415,Sf1516,Sf1617,Sa1314,Sa1415,Sa1516,Sa1617,Pg1314,Pg1415,Pg1516,Pg1617,P+1314,P+1415,P+1516,P+1617,P-1314,P-1415,P-1516,P-1617,R1314,R1415,R1516,R1617,Pk1516,Pk1617,Ps1314,Ps1415,Ps1516,Ps1617,Team1314,Team1415,Team1516,Team1617
SIMEONE,,,,3,,0,,,,1,,,0,,,,,0,,,,11,,,,,,0,,,,,,,,6.83,,,,5.9,,,,35,,,,1,,,,1,,,,F,,2,,,,0,,,,Genoa
SIMIC L,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,D,,0,,,,0,,,,Sampdoria
SIMY,,,,0,,0,,,,0,,,0,,,,,0,,,,3,,,,,,0,,,,,,,,6.27,,,,5.67,,,,15,,,,0,,,,0,,,,F,,0,,,,0,,,,Crotone
SKORUPSKI,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,43,56,0,0,5.75,4.33,5.75,4.33,4.79,4.93,6.75,6,6.21,6.27,2,3,31,35,0,0,0,0,0,0,0,0,G,G,G,G,0,0,0,0,0,4,ROMA,ROMA,Empoli,Empoli
SKRINIAR,,,0,4,0,0,,,0,0,,0,0,,,,1,1,,,0,0,,,,,0,0,,,,,,,5,5.74,,,5.5,5.83,,,2,35,,,0,0,,,0,0,,,D,D,0,0,,,0,0,,,Sampdoria,Sampdoria
SODDIMO,,,8,,2,,,,0,,,0,,,,,1,,,,1,,,,,,0,,,,,,,,6.06,,,,6.1,,,,25,,,,0,,,,0,,,,M,,0,,,,0,,,,Frosinone,
SOMMA,,1,,,,,,0,,,0,,,,,0,,,,0,,,,0,,0,,,,0,,5.75,,5.75,,,,6,,,,2,,,,0,,,,0,,,,D,,,,,,0,,,,EMPOLI,,
SORENSEN,1,3,,,,,0,0,,,0,,,0,1,0,,,0,0,,,0,0,0,0,,,0,0,5.39,5.5,5.39,5.5,,,5.5,5.67,,,14,9,,,0,0,,,0,0,,,D,D,,,,,0,0,,,BOLOGNA,VERONA,,
SORIANO,4,11,7,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,5,4,8,0,0,0,0,0,0,0,1,1,6.5,6.39,6.5,6.33,6.53,0,6.06,6.13,5.92,0,27,32,37,0,0,0,0,0,0,0,0,0,M,M,M,M,0,0,0,0,0,0,SAMPDORIA,SAMPDORIA,Sampdoria,Sampdoria
SORRENTINO,,1,1,1,0,0,,0,0,0,0,0,0,,,0,0,0,,0,0,0,,0,,51,58,52,,0,,4.74,,4.74,4.69,4.71,,6.21,6.36,6.25,,35,35,34,,0,0,0,,0,0,0,,G,G,G,0,0,,0,0,0,,PALERMO,Palermo,Chievo
SOUPRAYEN,,,5,,0,,,,0,,,0,,,,,1,,,,0,,,,,,0,,,,,,,,5.58,,,,5.75,,,,20,,,,0,,,,0,,,,D,,0,,,,0,,,,Verona,
SPINAZZOLA,,0,,2,,0,,0,,4,0,,1,,,0,,0,,0,,0,,0,,0,,0,,0,,6,,6,,6.32,,6,,6.28,,1,,30,,0,,0,,0,,0,,M,,M,,0,,0,,0,,ATALANTA,,Atalanta
SPIZZICHINO,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,D,,0,,,,0,,,,Lazio
SPOLLI,6,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5.74,5,5.74,5,5.54,5.62,5.74,5,5.79,5.82,21,1,14,20,0,0,0,0,0,0,0,0,D,D,D,D,0,0,0,0,0,0,CATANIA,ROMA,Chievo,Chievo
